frame,time,MET_X1,MET_Y1,HEEL_X1,HEEL_Y1,MALLEOL_X1,MALLEOL_Y1,FIBULA_X1,FIBULA_Y1,FEM_ALT_X1,FEM_ALT_Y1,FEM_UST_X1,FEM_UST_Y1,ASIS_X1,ASIS_Y1,ACR_X1,ACR_Y1,knee_angle,hip_angle,ankle_angle,derivative_knee_angle,derivative_hip_angle,derivative_ankle_angle,acceleration_knee_angle,acceleration_hip_angle,dacceleration_erivative_ankle_angle
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,180,0,0,0,0,0,0
1,1.117152,16.34681022,3.069289073,27.47405704,11.48325428,23.70429778,15.38349591,18.14161406,49.67002155,14.9988779,55.84619184,29.92879025,92.38205712,23.83670365,103.3844186,0,0,148.557816948971,170.756691191028,117.879634863396,-31.4421830510293,170.756691191028,-62.1203651366036,-31.4421830510293,170.756691191028,-62.1203651366036
2,1.124048,16.4923276,2.635421758,27.91195159,9.458092675,23.85303695,13.21308541,17.59265702,47.1355493,14.48825245,53.35526131,29.81266951,89.7736356,23.49717083,100.6265936,0,0,148.325607774936,170.701032188479,116.963712350498,-0.232209174034864,-0.0556590025486798,-0.915922512898305,31.2099738769944,-170.812350193577,61.2044426237053
3,1.130944,16.20236677,2.924308658,29.07447973,6.855425751,25.44728454,11.91363133,16.71529655,44.58189104,13.94897671,51.02934516,29.6718259,87.26777361,23.50143364,98.32893894,0,0,147.919375574138,170.631868471121,115.419478505979,-0.40623220079803,-0.0691637173585491,-1.54423384451931,-0.174023026763166,-0.0135047148098693,-0.628311331621006
4,1.13784,16.49071671,3.503693352,29.07609062,5.987154157,27.04180062,10.46946531,16.11296518,42.46944865,12.9788152,48.70913952,29.45035941,84.64027083,23.39251884,95.11200931,0,0,147.284963873833,170.542396681669,113.171600345408,-0.634411700304724,-0.0894717894513235,-2.24787816057072,-0.228179499506695,-0.0203080720927744,-0.70364431605141
5,1.144736,16.49125367,3.214269487,29.2186547,7.145118098,27.04394848,9.311769849,15.58980194,40.4487452,12.34136934,46.58122002,29.415912,82.05735627,23.6269734,92.5850155,0,0,146.400062187097,170.425154579462,110.322631241428,-0.884901686736299,-0.117242102207427,-2.84896910397958,-0.250489986431575,-0.027770312756104,-0.601090943408863
6,1.151632,17.06828849,3.074673554,29.21919166,6.855694233,27.33417779,8.878171016,14.89619095,39.17463608,11.47680052,44.88678232,29.41653719,79.90388299,23.86142795,90.05802168,0,0,145.276149560292,170.272744535087,107.120830534735,-1.12391262680458,-0.1524100443755,-3.20180070669325,-0.239010940068283,-0.0351679421680728,-0.352831602713664
7,1.158528,16.63489168,3.793385699,29.21946014,6.710982301,27.33283538,9.601730678,13.09710108,38.66251781,9.728553471,44.70385358,29.6296497,78.34588671,24.32543483,87.64633687,0,0,143.923224904652,170.072147514258,103.805892906468,-1.35292465564066,-0.200597020828809,-3.31493762826753,-0.229012028836081,-0.0481869764533087,-0.113136921574281
8,1.165424,17.06898078,3.071689623,29.36363511,7.000674648,26.02935406,10.17816207,11.07059706,38.94818293,7.786120882,44.75022038,29.97277664,76.76432887,24.90453758,85.11998248,23.8,130,142.310969470922,169.802206556384,100.494913681067,-1.61225543372936,-0.269940957873331,-3.310979225401,-0.259330778088696,-0.0693439370445219,0.00395840286653026
9,1.17232,17.06990296,3.072285467,29.36390359,6.855962715,25.01583357,10.46570656,8.899381114,39.23357956,5.751801842,44.92055823,30.53648828,75.01060788,25.59703108,83.39802034,23.6,128,140.36081363821,169.442478088912,97.2064085079905,-1.95015583271208,-0.359728467472308,-3.28850517307613,-0.337900398982725,-0.0897875095989775,0.022474052324867
10,1.179216,17.06831684,3.072238539,29.36390359,6.855962715,24.72587274,10.75459346,7.307012894,39.52005012,4.092373096,44.95599671,31.02522232,73.2978629,25.59937562,82.13431029,22.5,126,137.961298490914,168.987048180819,93.9339718039366,-2.39951514729577,-0.455429908093265,-3.27243670405393,-0.449359314583688,-0.0957014406209566,0.0160684690222013
11,1.186112,17.07003546,3.072993783,29.36417208,6.711250783,24.58062384,11.04374884,5.715718603,39.22767295,2.880474242,44.93576771,31.42107623,71.74761601,26.06189052,80.52680461,21.8,124,134.984871796106,168.473717957367,90.6732316789374,-2.97642669480817,-0.513330223451447,-3.26074012499926,-0.576911547512395,-0.0579003153581823,0.0116965790546715
12,1.193008,17.06908233,3.072391924,29.36444056,6.566538851,24.72533577,11.04401732,5.861235982,38.79380563,2.1465699,44.49975821,31.55268717,70.24982271,26.06508763,78.80356363,21.4,122,131.307437167823,168.081552769838,87.4185208419685,-3.67743462828338,-0.392165187529571,-3.25471083696881,-0.701007933475211,0.121165035921877,0.00602928803044733
13,1.199904,17.06915668,3.071765911,29.36444056,6.566538851,24.58035536,11.18846077,4.994575282,37.92392315,1.748787355,43.80058392,31.56380223,68.84221532,26.41101466,78.11490666,20.7,120,126.844036159012,168.460488793861,84.1715220377093,-4.46340100881093,0.37893602402275,-3.24699880425928,-0.785966380527555,0.77110121155232,0.00771203270953436
14,1.2068,17.06958594,3.072708136,29.36470904,6.421826918,24.58142929,10.60961304,4.852011207,36.7659592,1.586826446,42.9012341,31.55318871,67.52452258,26.87225072,77.19669737,19.9,118,121.598216694484,172.259611739202,80.9596273654564,-5.24581946452815,3.7991229453412,-3.21189467225287,-0.78241845571722,3.42018692131845,0.0351041320064098
15,1.213696,17.06869452,3.074064871,29.36470904,6.421826918,24.87085315,10.61015001,4.563661272,36.18657451,1.485140211,41.93426959,31.53171226,66.1039424,26.64504294,75.81767831,19.8,116,115.707602185607,161.286967118019,77.8453268918568,-5.89061450887627,-10.9726446211825,-3.11430047359957,-0.644795044348115,-14.7717675665237,0.0975941986532973
16,1.220592,17.06929716,3.073864708,29.36497752,6.277114986,24.7264097,10.46516959,4.420560233,35.31803443,1.312919917,41.1157416,31.53762187,64.62812025,27.56751504,73.98125972,19.3,115,109.464392892967,69.5153084214826,74.9194934751447,-6.24320929264015,-91.7716586965365,-2.92583341671209,-0.352594783763877,-80.799014075354,0.188467056887475
17,1.227488,17.06916,3.071466196,29.50888401,6.711519265,24.87112164,10.46543807,4.277727676,34.30478243,1.079170447,40.35737189,31.65713349,63.28717552,27.91429464,72.83307183,18.8,113,103.285527159668,53.1006691910297,72.2825010164907,-6.17886573329928,-16.4146392304529,-2.63699245865405,0.0643435593408697,75.3570194660836,0.288840958058046
18,1.234384,17.0691108,3.071869136,29.50942097,6.422095401,24.8716586,10.17601421,4.277996159,34.16007049,0.6323895065,39.86843928,31.97642806,61.92887208,28.14725721,71.11025713,18.3,112,97.6204380549511,51.6900192806911,70.0211179303304,-5.66508910471697,-1.41064991033858,-2.26138308616029,0.513776628582306,15.0039893201143,0.375609372493756
19,1.24128,17.06950864,3.073620201,29.50942097,6.422095401,24.43725432,10.31992069,3.843323397,34.44868891,0.1215288891,39.8180838,33.0270754,60.40635821,28.37803678,70.23817818,17.8,110,92.8278013135227,53.1239816597764,68.1876881086099,-4.79263674142832,1.43396237908531,-1.83342982172053,0.872452363288645,2.84461228942389,0.427953264439765
20,1.248176,17.06868431,3.071996227,29.50968946,6.277383468,24.7264097,10.46516959,3.408919118,34.5925954,-0.3809541786,39.82735913,33.02976022,58.95923889,28.81512588,68.64715237,17.2,109,89.0807054567131,55.361138964698,66.786563246835,-3.74709585680965,2.23715730492162,-1.40112486177487,1.04554088461867,0.803194925836308,0.432304959945654
21,1.255072,17.06983506,3.072743071,29.51076338,5.698535739,24.72614122,10.60988152,3.119763736,34.4473465,-0.762990128,39.84160157,33.32106347,57.94679233,28.67175636,67.92332422,16.9,108,86.3391999483045,57.9389255800072,65.7682398341734,-2.74150550840861,2.57778661530913,-1.01832341266154,1.00559034840104,0.340629310387513,0.38280144911333
22,1.261968,17.06929851,3.071056171,29.64935605,6.140247551,24.6910019,10.64722082,2.541184489,34.30156064,-1.016003158,39.81925585,33.46684933,57.36821308,28.67363573,66.9103407,16.7,107,84.3918086242182,60.8734250336276,65.0313766081804,-1.94739132408628,2.93449945362045,-0.736863225993091,0.794114184322325,0.356712838311324,0.281460186668454
23,1.268864,17.06894259,3.073664026,29.65007565,6.137500042,24.6676098,10.67262206,2.107317174,34.15604326,-1.131336295,39.78170885,33.75788408,56.50047845,28.82022704,65.89762565,16,105,82.9399256194525,64.3045532432728,64.4458896023667,-1.45188300476566,3.43112820964517,-0.585487005813619,0.495508319320621,0.49662875602472,0.151376220179472
24,1.27576,17.06864697,3.071283523,29.65065038,6.139452737,24.67751033,10.65777097,1.817893309,34.1555063,-1.142959496,39.74436168,34.04784491,56.21159155,29.25543677,65.31958337,16.1,104,81.6865496115882,68.2775065384004,63.8946787509115,-1.25337600786429,3.9729532951276,-0.551210851455281,0.198506996901372,0.541825085482422,0.0342761543583379
25,1.282656,17.07033883,3.071598431,29.65067183,6.13934234,24.69515959,10.64078257,2.397009521,34.01186829,-1.045727481,39.73300001,34.62830354,55.34439388,29.54566608,64.88598454,15.4,103,80.4020835480204,72.6021573075653,63.304078557733,-1.28446606356783,4.32465076916492,-0.59060019317846,-0.0310900557035438,0.351697474037323,-0.0393893417231794
26,1.289552,17.06893278,3.073059697,29.65120121,6.139670492,24.71497446,10.61925157,1.818161792,34.01079436,-0.9996300532,39.69467368,34.19577863,54.47531684,29.40390745,63.2938848,15.6,101,78.9572073853539,76.849742923456,62.650933281379,-1.44487616266649,4.24758561589069,-0.653145276353982,-0.160410099098655,-0.0770651532742335,-0.0625450831755217
27,1.296448,17.07069947,3.071071704,29.65124966,6.143593371,24.72461371,10.60219725,1.818967238,33.57665857,-0.9891728345,39.57952379,34.63125684,53.75256263,29.98436607,62.42668714,14.7,101,77.3199295119007,80.5330855768171,61.9528330140215,-1.63727787345326,3.68334265336108,-0.698100267357532,-0.192401710786768,-0.564242962529605,-0.04495499100355
28,1.303344,17.07063837,2.925919552,29.65134109,6.133496331,24.73477227,10.59205034,1.819772685,33.14252277,-0.961049949,39.44587905,34.34371235,52.73904214,29.84045959,61.99228286,14.9,99.3,75.5255253420879,83.3586981990567,61.2479021010552,-1.79440416981274,2.82561262223959,-0.704930912966248,-0.157126296359479,-0.857730031121491,-0.00683064560871571
29,1.31024,17.07036989,3.070631484,29.65140435,6.141909772,24.74433061,10.57962826,2.108928067,33.28777167,-0.9450122597,39.30854719,34.77919056,52.01628792,30.13149434,61.12454823,14.3,98.6,73.6414545237823,85.3403277297576,60.5770957387407,-1.88407081830564,1.98162953070091,-0.670806362314579,-0.0896666484929085,-0.843983091538675,0.0341245506516685
30,1.317136,17.06994303,3.072372016,29.65143637,6.135695876,24.76081503,10.56602677,2.25364,33.28804015,-0.9408432987,39.23892769,34.78106994,51.0033044,30.42199214,60.54623746,13.8,97.5,71.7440586495581,86.7140834854789,59.976428986312,-1.89739587422419,1.37375575572133,-0.600666752428609,-0.0133250559185427,-0.607873774979581,0.0701396098859703
31,1.324032,17.0686003,3.073705614,29.65145339,6.136445705,24.75792959,10.56980423,1.963679171,33.57692705,-0.9318023693,39.23253354,34.96349054,50.55882343,30.56804648,59.82294628,13.2,96.6,69.9063494993547,87.7811328455028,59.4739499963842,-1.83770915020341,1.06704936002383,-0.502478989927823,0.0596867240207786,-0.306706395697503,0.0981877625007854
32,1.330928,17.07004253,3.073043823,29.65159866,6.138827534,24.75484768,10.57956401,2.399157379,32.85417283,-0.9157253436,39.24984794,35.19453484,49.86995332,30.57019434,58.66525082,13.4,95.7,68.1887894741123,88.7967341541744,59.0867620800736,-1.71756002524236,1.01560130867169,-0.387187916310623,0.120149124961046,-0.0514480513521391,0.1152910736172
33,1.337824,17.07063837,2.925919552,29.65178214,6.139987308,24.7471213,10.58944409,2.10919655,33.14305973,-0.9264617449,39.29549177,35.19623997,48.95089147,30.71490627,58.66551931,13.1,94.6,66.6299516510291,89.9272068646795,58.8187826970457,-1.55883782308317,1.13047271050502,-0.267979383027935,0.158722202159197,0.114871401833327,0.119208533282688
34,1.34472,17.06866437,3.073328265,29.65190788,6.137975988,24.74173052,10.5974345,2.109465032,32.9983478,-0.9122908589,39.33048283,35.19645311,48.83600874,31.29563338,57.65360971,12.2,93.8,65.2408366771489,91.2549509628375,58.6614990523017,-1.38911497388024,1.32774409815808,-0.157283644743998,0.169722849202927,0.197271387653061,0.110695738283937
35,1.351616,17.06934223,3.070320938,29.65194562,6.139430379,24.73889452,10.60284422,2.253908482,33.14332822,-0.8592422307,39.37728034,35.65704974,48.26244764,31.44115076,57.21974239,12,93.1,64.0090947012856,92.805649853583,58.5963708192858,-1.23174197586334,1.55069889074549,-0.0651282330158836,0.157372998016896,0.222954792587416,0.0921554117281147
36,1.358512,17.07002632,3.07259987,29.65197397,6.141411198,24.73632892,10.60580794,2.687238832,33.57826946,-0.796582114,39.41458758,35.65747602,48.03268218,31.7308431,57.07556743,11.8,92.6,62.9131275457947,94.5698378933229,58.5992114350174,-1.09596715549084,1.76418803973984,0.00284061573164252,0.135774820372504,0.213489148994341,0.0679688487475261
37,1.365408,17.06918216,3.073069073,29.65202252,6.141212635,24.73400273,10.60572308,2.397546485,33.72244443,-0.7646071937,39.4419984,35.82110826,47.62796775,32.02241483,55.91840893,11.8,91.7,61.9374365461536,96.5088271422198,58.6497159530825,-0.975690999641117,1.93898924889695,0.0505045180651251,0.120276155849723,0.17480120915711,0.0476639023334826
38,1.372304,17.07061383,3.071893537,29.6520619,6.14039993,24.7329957,10.60712487,2.687507314,33.43355753,-0.7179162716,39.48964601,36.03326605,47.31737017,31.58881599,55.62817962,11,91,61.0779218031066,98.5556215341241,58.7380449152098,-0.859514743047001,2.04679439190429,0.0883289621272354,0.116176256594116,0.10780514300734,0.0378244440621103
39,1.3792,17.06903255,3.071139166,29.65237556,6.141762971,24.73455092,10.60751271,2.686433385,34.01240526,-0.5732882951,39.07628268,36.18691116,47.00488396,32.16846917,55.19511775,11.1,89.8,60.3357982922445,100.622623560578,58.8609260184219,-0.742123510862115,2.06700202645416,0.122881103212137,0.117391232184886,0.0202076345498767,0.0345521410849017
40,1.386096,17.06844616,3.072486211,29.65238661,6.135437742,24.73596131,10.60640175,2.8314138,33.86796181,-0.08629059166,39.40225452,36.27610228,46.62459579,32.3131811,55.19538624,10.7,89.5,59.7122222515356,102.618722210811,59.0162810573033,-0.623576040708841,1.99609865023301,0.15535503888141,0.118547470153274,-0.0709033762211533,0.0324739356692731
41,1.392992,17.06976776,3.074898053,29.65255084,6.142986148,24.73698996,10.60555269,2.687507314,33.43355753,-0.08568749853,39.07718732,36.35051866,46.23617375,32.16981158,54.47155809,10.5,89.1,59.2054456493995,104.469221691688,59.2007381936475,-0.506776602136199,1.85049948087651,0.184457136344122,0.116799438572642,-0.145599169356501,0.0291020974627116
42,1.399888,17.07015124,3.071150784,29.65255893,6.14038225,24.73804541,10.6067132,2.687775797,33.2888456,0.2393796992,39.07779042,36.35251564,45.97529217,32.48624937,55.14596243,10.3,88.7,58.8030342949255,106.127764718591,59.4041507327553,-0.402411354473998,1.65854302690342,0.203412539107802,0.104365247662201,-0.191956453973091,0.0189554027636802
43,1.406784,17.06911866,3.073007732,29.65256646,6.140635405,24.73440963,10.60701322,3.121643111,33.43436297,0.4016117515,39.24062556,36.47362447,45.79744182,32.74545221,54.37313627,10.2,87.8,58.4777308230416,107.578577778907,59.6063933125968,-0.325303471883899,1.45081306031534,0.202242579841538,0.0771078825900986,-0.207729966588076,-0.00116995926626373
44,1.41368,17.07063884,3.06975626,29.65260668,6.136799187,24.73419622,10.60805288,3.265818079,33.72405532,0.2381735129,39.72792481,36.67392324,45.48976504,32.74640867,53.85760002,9.79,87.5,58.1957509598677,108.836038889432,59.7861072730417,-0.281979863173831,1.2574611105259,0.179713960444872,0.0433236087100681,-0.193351949789445,-0.0225286193966667
45,1.420576,17.069005,3.071326803,29.65267844,6.139453855,24.73336455,10.60985616,3.410261529,33.86903574,0.4016117515,39.24062556,36.73347342,45.31342142,33.00441592,53.72919419,9.79,87.3,57.9288593764847,109.939641308049,59.9345574086458,-0.266891583383071,1.10360241861663,0.148450135604165,0.0150882797907599,-0.153858691909264,-0.0312638248407069
46,1.427472,17.06851061,3.071165775,29.65274048,6.136968779,24.73433151,10.60853092,3.120569182,34.0132107,0.2387766061,39.40285761,37.38625865,45.04892826,32.74736514,53.34206376,9.79,87.1,57.6613605538973,110.9379085351,60.0597459109799,-0.267498822587342,0.998267227051102,0.125188502334069,-0.000607239204271082,-0.10533519156553,-0.0232616332700957
47,1.434368,16.63516016,3.648673767,29.65279139,6.142038417,24.7329302,10.6108511,3.148455298,34.03360949,0.7260758561,39.56629585,37.38668493,44.81916279,32.74832161,52.8265275,9.43,86,57.3891386377294,111.869492022247,60.1741420688723,-0.272221916167865,0.931583487147194,0.114396157892401,-0.00472309358052314,-0.0666837399039082,-0.0107923444416684
48,1.441264,16.63542864,3.503961834,29.65281736,6.138759013,24.73393885,10.61190313,3.188972375,34.05475796,0.7266789492,39.24122866,37.61623725,44.93447181,32.87744479,52.69788255,9.61,86.5,57.1132411190489,112.754869153603,60.2731481408233,-0.275897518680523,0.885377131356023,0.0990060719509529,-0.00367560251265786,-0.0462063557911705,-0.0153900859414478
49,1.44816,16.63569712,3.359249902,29.65284334,6.137078021,24.73368282,10.6103401,3.206392311,34.06014291,0.7260758561,39.56629585,37.50156766,44.81937593,33.2643361,52.56971584,9.43,86,56.8375643227656,113.5966171056,60.3289318212551,-0.275676796283321,0.841747951996354,0.0557836804318299,0.000220722397202167,-0.0436291793596695,-0.043222391519123
50,1.455056,16.77286934,3.660424302,29.65284428,6.138212311,24.7333633,10.60918592,3.191540815,34.05421186,0.8883079083,39.729131,37.38775063,44.24474914,33.26481434,52.31194771,9.25,86.4,56.568945431515,114.38505250677,60.3106764424177,-0.268618891250625,0.788435401170219,-0.0182553788373383,0.00705790503269554,-0.053312550826135,-0.0740390592691682
51,1.461952,16.6346232,3.938097631,29.65284867,6.137936696,24.73201249,10.61031525,3.180044198,34.05696899,1.050238414,40.05449974,37.50220708,44.47472774,33.39489399,51.6677665,8.88,86.2,56.3103415209448,115.110972068524,60.2021384038034,-0.258603910570187,0.725919561753784,-0.108538038614299,0.0100149806804382,-0.0625158394164345,-0.0902826597769604
52,1.468848,16.77190031,3.661980394,29.65287177,6.136948815,24.73281008,10.61087374,3.195316871,34.06810121,1.051143054,39.56689895,37.61687667,44.58982361,34.16867661,51.41143307,9.07,85.8,56.0563409852392,115.773857925519,59.9988787266283,-0.254000535705629,0.662885856994862,-0.203259677175112,0.00460337486455842,-0.0630337047589222,-0.0947216385608129
53,1.475744,16.7714095,3.660950412,29.65294432,6.13668215,24.73318904,10.60972152,3.20375799,34.08164963,1.050841507,39.72943255,37.64549009,44.57187875,34.03907519,51.79784615,8.7,86.4,55.8021282923701,116.377415584147,59.7072885039112,-0.254212692869075,0.60355765862866,-0.291590222717105,-0.000212157163446136,-0.0593281983662024,-0.0883305455419929
54,1.48264,16.6346232,3.938097631,29.65296144,6.13900046,24.73255605,10.61235669,3.843591879,34.30397698,1.050539961,39.89196614,37.63298244,44.5627513,34.16628544,52.70027372,8.52,85.8,55.5548292483059,116.925210446896,59.3524135852918,-0.247299044064192,0.547794862749058,-0.354874918619473,0.00691364880488265,-0.0557627958796019,-0.0632846959023681
55,1.489536,16.63542864,3.503961834,29.65296452,6.137648872,24.73092612,10.61278091,3.698611465,34.44842043,1.213073559,39.89226769,37.63587741,44.57849194,34.16700279,52.31362153,8.7,85.6,55.3348759786919,117.425514297361,58.9779990074988,-0.219953269613967,0.500303850464448,-0.374414577792933,0.0273457744502252,-0.0474910122846097,-0.0195396591734607
56,1.496432,16.63596561,3.21453797,29.65298388,6.134504965,24.73210158,10.60997549,3.98803533,34.44895739,1.218261329,39.90221679,37.65442118,44.62271807,34.29588685,52.31386064,8.52,85.6,55.1696948415752,117.893804201691,58.6417527956393,-0.165181137116761,0.468289904329737,-0.336246211859489,0.0547721324972059,-0.0320139461347111,0.0381683659334442
57,1.503328,16.77566282,3.658016712,29.65310167,6.135766259,24.72957598,10.6112877,3.987229883,34.88309319,1.223304115,39.90357963,37.63184035,44.61771845,34.29540862,52.57162877,8.34,85.8,55.0854659379085,118.344623595512,58.4109792369247,-0.0842289036666699,0.450819393821348,-0.230773558714631,0.0809522334500912,-0.0174705105083888,0.105472653144858
58,1.510224,16.77192474,3.661778465,29.6531265,6.136779724,24.72927548,10.61215621,3.698342983,34.59313236,1.223191979,39.90424988,37.61696001,44.66876709,34.42357533,52.95852008,7.97,85.8,55.0996688647394,118.784687998267,58.3431075907731,0.0142029268309045,0.440064402755638,-0.0678716461516444,0.0984318304975744,-0.0107549910657099,0.162901912562987
